loan_id,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change,stage,LGD,EAD,balance_to_original_ratio,high_utilization_flag,score_deteriorated_flag,loan_type_term,region_North,region_South,region_West,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_personal,PD_12month,years_remaining,PD_lifetime,PD_used,ECL
798,2022-09-16,662,619,12830.09,6156.86,,6.46,7,0,1,27.9,,-43,Stage 2,0.648,6156.86,0.48,0,1,True,False,False,True,False,True,False,0.3826198559501742,2.6750000000000003,0.724749346028823,0.724749346028823,2891.49
799,2022-12-06,665,631,28956.69,9096.23,,7.04,11,1,0,25.2,,-34,Stage 2,0.884,9096.23,0.314,0,1,True,False,False,True,False,False,True,0.395860064161323,2.9,0.7681009973451033,0.7681009973451033,6176.35
800,2021-11-19,717,713,10381.87,4459.66,7717.27,5.59,2,0,0,38.0,0.578,-4,Stage 1,0.66,6088.46,0.43,0,0,False,False,False,True,False,True,False,0.2177739530481171,1.8333333333333335,0.36255532006235835,0.2177739530481171,875.1
801,2024-03-09,735,734,22058.31,16190.38,45043.85,7.46,1,0,0,9.9,0.359,-1,Stage 1,0.614,30617.12,0.734,0,0,False,True,False,False,False,True,False,0.18853006529904848,4.175,0.5819652252927152,0.18853006529904848,3544.16
802,2023-05-11,672,660,19246.64,10834.12,,14.69,13,0,0,20.0,,-12,Stage 1,0.627,10834.12,0.563,0,0,True,False,True,False,False,True,False,0.389919830889716,3.333333333333333,0.807414747327035,0.389919830889716,2648.72
803,2021-04-05,661,633,28856.62,15466.59,,6.94,22,0,0,45.6,,-28,Stage 1,0.415,15466.59,0.536,0,0,True,False,False,True,False,False,False,0.5224826938019158,1.1999999999999997,0.5881046025883494,0.5224826938019158,3353.63
804,2022-07-07,546,501,18243.83,2949.4,,3.45,53,0,1,30.3,,-45,Stage 2,0.922,2949.4,0.162,0,1,True,True,False,False,False,False,True,0.8934089396308339,2.475,0.9960770846495351,0.9960770846495351,2708.68
805,2024-12-14,633,597,30180.79,29337.64,,9.46,21,0,0,0.6,,-36,Stage 2,0.603,29337.64,0.972,0,1,True,False,False,True,False,True,False,0.5971165366352146,4.95,0.9888919394846778,0.9888919394846778,17494.09
806,2023-03-01,611,584,1797.8,730.21,1436.87,10.92,29,0,0,22.4,0.508,-27,Stage 1,0.945,1083.54,0.406,0,0,False,False,False,False,False,False,True,0.6490853488590241,3.1333333333333337,0.9624193140427573,0.6490853488590241,664.63
807,2024-03-19,721,715,10619.99,8525.51,19012.42,6.34,1,0,0,9.6,0.448,-6,Stage 1,0.886,13768.96,0.803,0,0,False,False,False,False,False,False,True,0.17994078068746405,4.2,0.5653397706983502,0.17994078068746405,2195.15
808,2022-07-07,665,661,2584.83,660.26,1951.99,11.27,16,0,0,30.3,0.338,-4,Stage 1,0.696,1306.12,0.255,0,0,False,True,False,False,False,True,False,0.4740306862844539,2.475,0.7961188814179863,0.4740306862844539,430.92
809,2024-10-06,663,655,5756.89,5546.74,,14.41,18,0,0,2.9,,-8,Stage 1,0.652,5546.74,0.963,0,0,True,False,True,False,False,True,False,0.4243029084395212,4.758333333333334,0.9277357857096692,0.4243029084395212,1534.48
810,2021-04-26,679,666,5406.62,540.66,,8.3,10,0,0,44.9,,-13,Stage 1,0.897,540.66,0.1,0,0,True,False,False,False,True,False,False,0.34693182036916476,1.2583333333333333,0.4149996281907419,0.34693182036916476,168.25
811,2022-09-24,627,632,30101.95,5968.35,17261.39,11.23,24,0,0,27.7,0.346,5,Stage 1,0.45,11614.87,0.198,0,0,False,False,False,False,False,False,False,0.6606303837877898,2.691666666666667,0.9454583787241229,0.6606303837877898,3452.91
812,2024-06-14,773,771,11172.64,9932.11,15660.44,11.77,5,0,0,6.7,0.634,-2,Stage 1,0.881,12796.28,0.889,0,0,False,False,True,False,False,False,True,0.09389759363518994,4.441666666666666,0.3546493248022202,0.09389759363518994,1058.56
813,2021-09-27,757,730,49713.84,19637.51,,10.23,3,0,0,39.7,,-27,Stage 1,0.609,19637.51,0.395,0,0,True,False,False,False,False,True,False,0.09820619970630479,1.6916666666666664,0.1604309443259786,0.09820619970630479,1174.47
814,2023-05-11,777,762,10384.46,7277.5,17368.03,11.73,0,0,0,20.0,0.419,-15,Stage 1,0.642,12322.76,0.701,0,0,False,False,False,True,False,True,False,0.07867800298854889,3.333333333333333,0.23902311060772385,0.07867800298854889,622.44
815,2021-10-18,721,713,2374.32,821.13,1961.92,10.6,2,0,0,39.0,0.419,-8,Stage 1,0.944,1391.52,0.346,0,0,False,False,True,False,False,False,True,0.20474334366600203,1.75,0.3302884368006175,0.20474334366600203,268.95
816,2024-12-28,678,650,9682.2,9570.2,,6.16,6,0,0,0.1,,-28,Stage 1,0.632,9570.2,0.988,0,0,True,False,False,False,False,True,False,0.2872533223295001,4.991666666666666,0.8155402787442679,0.2872533223295001,1737.41
817,2021-01-09,776,787,18435.04,1843.5,,3.0,0,0,0,48.4,,11,Stage 1,0.882,1843.5,0.1,0,0,True,False,True,False,True,False,False,0.09236333688787593,1.0,0.0923633368878759,0.09236333688787593,150.18
818,2022-09-22,639,621,16045.16,8725.39,,9.56,16,0,0,27.7,,-18,Stage 1,0.886,8725.39,0.544,0,0,True,False,False,True,False,False,True,0.5367260158305991,2.691666666666667,0.8739487816649611,0.5367260158305991,4149.27
819,2023-05-14,627,619,13268.01,10198.5,,8.31,19,0,0,19.9,,-8,Stage 1,0.63,10198.5,0.769,0,0,True,False,False,False,False,True,False,0.5857443096170281,3.341666666666667,0.9473935680509006,0.5857443096170281,3763.44
820,2022-04-20,643,626,16963.22,1696.32,,4.12,19,0,0,32.9,,-17,Stage 1,0.934,1696.32,0.1,0,0,True,True,False,False,False,False,True,0.5342167318718054,2.2583333333333333,0.8219062805604836,0.5342167318718054,846.39
821,2022-06-21,711,676,25239.72,14119.38,41339.13,8.35,4,0,0,30.8,0.342,-35,Stage 2,0.618,27729.25,0.559,0,1,False,False,False,False,False,True,False,0.2121225228907933,2.433333333333333,0.44017863580322536,0.44017863580322536,7543.2
822,2022-11-16,634,628,1000.0,317.03,,8.6,18,0,0,25.9,,-6,Stage 1,0.699,317.03,0.317,0,0,True,False,False,False,False,True,False,0.5425809395748599,2.841666666666667,0.8916755859930455,0.5425809395748599,120.24
823,2023-11-01,670,653,14566.11,10450.75,,9.9,12,0,0,14.2,,-17,Stage 1,0.429,10450.75,0.717,0,0,True,False,False,True,False,False,False,0.4423404426252788,3.8166666666666664,0.8923595293497292,0.4423404426252788,1983.18
824,2022-09-05,583,555,5348.0,2696.64,,12.34,48,0,0,28.3,,-28,Stage 2,0.924,2696.64,0.504,0,0,True,True,False,False,False,False,True,0.819935307488125,2.6416666666666666,0.9892082852884216,0.9892082852884216,2464.81
825,2023-02-16,708,702,20370.59,9507.7,,6.58,4,0,0,22.8,,-6,Stage 1,0.433,9507.7,0.467,0,0,True,True,False,False,False,False,False,0.30627969290056944,3.0999999999999996,0.6781365487392477,0.30627969290056944,1260.9
826,2024-09-12,588,560,6082.13,5469.22,15102.0,3.0,37,0,1,3.7,0.362,-28,Stage 2,0.653,10285.61,0.899,0,0,False,True,False,False,False,True,False,0.7772543744800713,4.691666666666666,0.9991287594370334,0.9991287594370334,6710.65
827,2022-08-18,624,607,6209.4,4213.57,,7.79,29,0,0,28.9,,-17,Stage 1,0.912,4213.57,0.679,0,0,True,False,False,True,False,False,True,0.6298067702191149,2.591666666666667,0.9238779533307915,0.6298067702191149,2420.21
828,2021-10-03,753,750,3727.55,2122.9,,11.44,0,0,0,39.5,,-3,Stage 1,0.929,2122.9,0.57,0,0,True,False,False,True,False,False,True,0.12378902235111368,1.7083333333333335,0.20208521577650085,0.12378902235111368,244.13
829,2022-01-05,750,744,13754.2,1375.42,2937.06,13.01,3,0,0,36.4,0.468,-6,Stage 1,0.887,2156.24,0.1,0,0,False,False,False,True,True,False,False,0.13622348457680553,1.9666666666666668,0.25023918686680013,0.13622348457680553,260.54
830,2021-12-11,702,676,2350.5,1007.08,,7.19,2,0,0,37.2,,-26,Stage 1,0.892,1007.08,0.428,0,0,True,False,False,True,True,False,False,0.2434468908610217,1.9,0.4114343681163313,0.2434468908610217,218.69
831,2022-01-03,696,684,3689.57,2196.88,,10.75,4,0,0,36.5,,-12,Stage 1,0.679,2196.88,0.595,0,0,True,False,False,True,False,True,False,0.27430956183019045,1.9583333333333335,0.4662906312129207,0.27430956183019045,409.18
832,2024-08-27,648,628,13977.3,12996.73,,5.7,16,0,0,4.2,,-20,Stage 1,0.621,12996.73,0.93,0,0,True,True,False,False,False,True,False,0.5123992363333194,4.65,0.9645595397179881,0.5123992363333194,4135.56
833,2023-01-01,633,619,10700.71,7149.51,,9.02,22,0,0,24.4,,-14,Stage 1,0.643,7149.51,0.668,0,0,True,False,True,False,False,True,False,0.578371458061822,2.966666666666667,0.9228577430426019,0.578371458061822,2658.85
834,2021-01-15,658,648,10600.97,1060.1,,3.0,16,0,0,48.2,,-10,Stage 1,0.691,1060.1,0.1,0,0,True,False,False,True,False,True,False,0.45721427941559095,1.0,0.4572142794155909,0.45721427941559095,334.92
835,2023-01-28,589,560,1645.38,578.53,,8.02,31,0,0,23.5,,-29,Stage 2,0.897,578.53,0.352,0,0,True,False,True,False,True,False,False,0.7540416972184607,3.041666666666667,0.9859652819814902,0.9859652819814902,511.66
836,2022-11-19,695,679,14020.97,3922.89,,9.96,3,0,0,25.8,,-16,Stage 1,0.914,3922.89,0.28,0,0,True,False,False,False,False,False,True,0.242822265102984,2.85,0.5474007505581482,0.242822265102984,870.64
837,2021-01-04,682,680,14945.56,3152.17,8799.5,7.62,3,0,0,48.6,0.358,-2,Stage 1,0.47,5975.84,0.211,0,0,False,False,False,False,False,False,False,0.38499081722335654,1.0,0.3849908172233565,0.38499081722335654,1081.3
838,2024-10-31,623,608,26881.11,25796.85,,4.79,22,1,0,2.1,,-15,Stage 2,0.854,25796.85,0.96,0,0,True,False,False,True,False,False,True,0.6568584088642376,4.825,0.9942633419195496,0.9942633419195496,21904.13
839,2024-10-24,774,765,19012.26,18101.9,,9.23,1,0,0,2.3,,-9,Stage 1,0.861,18101.9,0.952,0,0,True,False,False,False,False,False,True,0.0796035721966551,4.808333333333334,0.3289120691482825,0.0796035721966551,1240.68
840,2022-06-17,716,690,5158.72,2755.29,,14.44,3,0,0,31.0,,-26,Stage 1,0.873,2755.29,0.534,0,0,True,False,True,False,True,False,False,0.20294556612108028,2.4166666666666665,0.4219980682203053,0.20294556612108028,488.16
841,2023-09-13,721,730,5060.6,3988.4,,6.51,1,0,0,15.9,,9,Stage 1,0.913,3988.4,0.788,0,0,True,False,False,False,False,False,True,0.18433622795910276,3.675,0.5270627058432016,0.18433622795910276,671.24
842,2024-03-06,650,639,28377.31,22824.6,,6.86,23,1,0,10.0,,-11,Stage 2,0.856,22824.6,0.804,0,0,True,False,False,False,False,False,True,0.5228796680459245,4.166666666666667,0.954191119010204,0.954191119010204,18642.85
843,2023-04-14,679,673,25330.49,15729.99,,8.28,6,0,0,20.9,,-6,Stage 1,0.615,15729.99,0.621,0,0,True,False,True,False,False,True,False,0.35904150861235934,3.2583333333333337,0.7652598153664076,0.35904150861235934,3473.35
844,2021-12-29,717,696,11919.94,1191.99,3052.75,13.99,4,0,0,36.6,0.39,-21,Stage 1,0.49,2122.37,0.1,0,0,False,False,False,False,False,False,False,0.22389114273294597,1.9499999999999997,0.38997287334367725,0.22389114273294597,232.84
845,2024-05-24,689,683,20898.33,16732.81,,5.0,6,0,0,7.4,,-6,Stage 1,0.863,16732.81,0.801,0,0,True,False,False,True,False,False,True,0.3146811937747993,4.383333333333333,0.8091629119105943,0.3146811937747993,4544.13
846,2024-10-23,776,764,23416.89,22145.13,,6.69,2,0,0,2.3,,-12,Stage 1,0.857,22145.13,0.946,0,0,True,False,True,False,False,False,True,0.08609797502446154,4.808333333333334,0.3513768667267496,0.08609797502446154,1634.0
847,2021-04-27,667,661,2975.66,884.34,,11.03,12,0,1,44.8,,-6,Stage 1,0.493,884.34,0.297,0,0,True,False,True,False,False,False,False,0.4848608313165871,1.266666666666667,0.568377119387678,0.4848608313165871,211.39
848,2024-04-17,649,629,4315.24,3665.53,10426.92,5.29,29,0,0,8.6,0.352,-20,Stage 1,0.666,7046.22,0.849,0,0,False,True,False,False,False,True,False,0.532779435990664,4.283333333333333,0.9615892886946527,0.532779435990664,2500.22
849,2024-06-23,718,695,9146.2,8353.11,,6.43,2,0,0,6.4,,-23,Stage 1,0.837,8353.11,0.913,0,0,True,True,False,False,True,False,False,0.20777239871831407,4.466666666666667,0.646656969872658,0.20777239871831407,1452.65
850,2021-05-08,604,581,28709.71,9049.25,,14.32,30,0,0,44.5,,-23,Stage 2,0.835,9049.25,0.315,0,0,True,False,True,False,True,False,False,0.7250467092948257,1.2916666666666665,0.8113271365746652,0.8113271365746652,6130.49
851,2024-10-13,735,733,40018.61,36851.78,,14.24,4,0,0,2.7,,-2,Stage 1,0.851,36851.78,0.921,0,0,True,False,True,False,False,False,True,0.20240178845283338,4.775,0.6603595412163568,0.20240178845283338,6347.5
852,2021-03-19,601,582,14822.77,1482.28,2955.14,10.77,31,0,0,46.1,0.502,-19,Stage 2,0.686,2218.71,0.1,0,0,False,True,False,False,False,True,False,0.7535886185725812,1.1583333333333332,0.8026030744135291,0.8026030744135291,1221.59
853,2023-01-11,718,709,4823.74,1768.34,,9.99,0,0,0,24.0,,-9,Stage 1,0.883,1768.34,0.367,0,0,True,False,False,True,True,False,False,0.20099708755430387,3.0,0.4899120230549333,0.20099708755430387,313.85
854,2024-08-09,641,601,5588.74,5170.49,7760.12,7.24,17,0,0,4.8,0.666,-40,Stage 2,0.855,6465.3,0.925,0,1,False,False,False,False,True,False,False,0.48901596115983814,4.6,0.9544305549750643,0.9544305549750643,5275.93
855,2023-02-13,708,712,9664.02,5626.3,,9.01,4,1,0,22.9,,4,Stage 2,0.852,5626.3,0.582,0,0,True,False,False,False,True,False,False,0.24869385110698922,3.091666666666667,0.5868884067633607,0.5868884067633607,2813.31
856,2021-03-23,734,733,9506.99,950.7,,6.71,1,0,0,46.0,,-1,Stage 1,0.892,950.7,0.1,0,0,True,False,False,False,True,False,False,0.1605615448069247,1.1666666666666665,0.184694565061449,0.1605615448069247,136.16
857,2021-12-08,689,676,5390.33,3175.07,,13.55,8,0,0,37.3,,-13,Stage 1,0.87,3175.07,0.589,0,0,True,False,True,False,True,False,False,0.3260382215122238,1.891666666666667,0.525938105251009,0.3260382215122238,900.62
858,2024-09-23,608,596,10506.5,9526.79,,9.44,26,0,0,3.3,,-12,Stage 1,0.882,9526.79,0.907,0,0,True,False,False,True,False,False,True,0.684804798390281,4.725,0.9957264518890554,0.684804798390281,5754.16
859,2023-03-30,626,591,1871.58,791.48,,8.53,22,0,0,21.4,,-35,Stage 2,0.894,791.48,0.423,0,1,True,True,False,False,True,False,False,0.6266335407552232,3.216666666666667,0.9579562073422683,0.9579562073422683,677.83
860,2022-08-01,636,612,11052.94,1405.06,,9.16,20,0,0,29.5,,-24,Stage 1,0.937,1405.06,0.127,0,0,True,False,False,True,False,False,True,0.5334753440750852,2.5416666666666665,0.8559910076798882,0.5334753440750852,702.34
861,2021-04-06,566,546,6602.07,1276.85,2566.87,7.09,40,0,0,45.5,0.497,-20,Stage 2,0.488,1921.86,0.193,0,0,False,False,False,True,False,False,False,0.8784956720796766,1.2083333333333335,0.9216783740222186,0.9216783740222186,864.41
862,2024-03-14,747,763,6340.41,5568.79,,10.54,1,0,0,9.8,,16,Stage 1,0.452,5568.79,0.878,0,0,True,False,False,False,False,False,False,0.15808450004549007,4.183333333333334,0.5131745809534916,0.15808450004549007,397.91
863,2022-07-31,686,667,17860.98,5424.17,,8.34,6,0,0,29.5,,-19,Stage 1,0.653,5424.17,0.304,0,0,True,True,False,False,False,True,False,0.3224402510615447,2.5416666666666665,0.6281865071212758,0.3224402510615447,1142.08
864,2022-06-05,611,569,18536.61,11193.1,,17.72,26,0,0,31.4,,-42,Stage 2,0.876,11193.1,0.604,0,1,True,False,False,True,False,False,True,0.6773559067897409,2.3833333333333333,0.9325278012611211,0.9325278012611211,9143.58
865,2024-11-21,767,771,9032.28,8832.31,,7.69,1,0,0,1.4,,4,Stage 1,0.635,8832.31,0.978,0,0,True,True,False,False,False,True,False,0.10540732061001547,4.883333333333334,0.4195425226745121,0.10540732061001547,591.18
866,2023-09-23,637,630,4244.62,3301.38,,11.51,10,1,0,15.5,,-7,Stage 2,0.469,3301.38,0.778,0,0,True,False,True,False,False,False,False,0.598209525083826,3.708333333333333,0.9659984548414443,0.9659984548414443,1495.7
867,2021-12-23,695,665,13914.2,2265.65,,14.54,3,0,0,36.8,,-30,Stage 2,0.478,2265.65,0.163,0,0,True,False,False,False,False,False,False,0.27818409132905675,1.9333333333333336,0.4675349143301698,0.4675349143301698,506.33
868,2021-07-05,630,607,8767.87,876.79,,3.0,13,1,0,42.5,,-23,Stage 2,0.493,876.79,0.1,0,0,True,True,False,False,False,False,False,0.6505286658366071,1.4583333333333335,0.7841550682839944,0.7841550682839944,338.96
869,2022-06-27,558,538,21837.21,10711.57,19688.23,7.71,46,0,0,30.6,0.544,-20,Stage 2,0.428,15199.9,0.491,0,0,False,False,True,False,False,False,False,0.8988996789791887,2.4499999999999997,0.9963554517034066,0.9963554517034066,6481.85
870,2021-05-31,598,587,17677.61,1767.76,3462.28,13.59,42,0,0,43.7,0.511,-11,Stage 2,0.883,2615.02,0.1,0,0,False,False,True,False,True,False,False,0.7798758384141319,1.358333333333333,0.8720254397250644,0.8720254397250644,2013.56
871,2024-09-04,653,619,19756.85,17746.68,,3.0,18,0,0,4.0,,-34,Stage 2,0.412,17746.68,0.898,0,1,True,False,True,False,False,False,False,0.5317882802289046,4.666666666666667,0.9710222958146858,0.9710222958146858,7099.76
872,2023-12-19,733,723,1179.85,825.99,,12.58,1,0,0,12.6,,-10,Stage 1,0.894,825.99,0.7,0,0,True,False,False,True,True,False,False,0.1557820944521005,3.95,0.48773402752463324,0.1557820944521005,115.03
873,2021-01-10,700,683,36015.31,16564.36,,9.98,3,0,0,48.4,,-17,Stage 1,0.813,16564.36,0.46,0,0,True,False,False,True,True,False,False,0.2862847759252834,1.0,0.28628477592528334,0.2862847759252834,3855.35
874,2023-05-07,688,664,14344.89,10607.06,,13.62,11,0,0,20.2,,-24,Stage 1,0.628,10607.06,0.739,0,0,True,False,False,False,False,True,False,0.2870722741572982,3.3166666666666664,0.6744625747179157,0.2870722741572982,1912.26
875,2024-02-22,559,530,1579.47,1288.8,,8.1,50,0,0,10.5,,-29,Stage 2,0.888,1288.8,0.816,0,0,True,False,False,False,True,False,False,0.8457319795707772,4.125,0.9995516283807778,0.9995516283807778,1143.94
876,2021-12-22,756,755,9984.61,3092.52,,9.79,0,0,0,36.9,,-1,Stage 1,0.67,3092.52,0.31,0,0,True,False,True,False,False,True,False,0.11576779385922052,1.9250000000000003,0.21088520967761537,0.11576779385922052,239.87
877,2024-10-01,693,698,12230.33,11609.55,26592.67,5.49,1,0,0,3.1,0.437,5,Stage 1,0.825,19101.11,0.949,0,0,False,False,False,False,True,False,False,0.29275518885195445,4.741666666666666,0.8064870685114438,0.29275518885195445,4613.36
878,2023-03-05,672,632,30109.81,15953.52,,8.32,8,0,0,22.3,,-40,Stage 2,0.814,15953.52,0.53,0,1,True,False,False,True,True,False,False,0.3736855639896425,3.1416666666666666,0.77007323680009,0.77007323680009,10000.3
879,2021-08-25,747,746,18765.73,6483.29,,6.67,1,0,0,40.8,,-1,Stage 1,0.447,6483.29,0.345,0,0,True,False,False,False,False,False,False,0.1544343291348238,1.6,0.23539743894518073,0.1544343291348238,447.56
880,2021-11-29,754,741,15799.87,4887.07,,7.24,2,0,0,37.6,,-13,Stage 1,0.907,4887.07,0.309,0,0,True,True,False,False,False,False,True,0.1273604749436259,1.8666666666666667,0.224541711209433,0.1273604749436259,564.53
881,2021-01-17,749,732,12469.51,6222.51,,9.45,0,0,0,48.2,,-17,Stage 1,0.848,6222.51,0.499,0,0,True,False,False,True,True,False,False,0.13412499591575502,1.0,0.134124995915755,0.13412499591575502,707.74
882,2024-12-18,665,645,10730.75,10547.37,,6.65,9,0,0,0.5,,-20,Stage 1,0.878,10547.37,0.983,0,0,True,False,True,False,False,False,True,0.3831115292569864,4.958333333333333,0.9088462253050453,0.3831115292569864,3547.84
883,2021-11-20,619,599,2820.57,282.06,,3.0,24,0,0,37.9,,-20,Stage 1,0.949,282.06,0.1,0,0,True,False,True,False,False,False,True,0.6339177374928592,1.8416666666666668,0.8428706134493442,0.6339177374928592,169.68
884,2021-01-23,739,726,14755.56,1475.56,,9.73,3,0,0,48.0,,-13,Stage 1,0.936,1475.56,0.1,0,0,True,False,False,False,False,False,True,0.13496302317251835,1.0,0.1349630231725183,0.13496302317251835,186.4
885,2023-07-20,598,570,5423.34,3075.64,8301.72,9.65,35,0,0,17.7,0.37,-28,Stage 2,0.871,5688.68,0.567,0,0,False,False,False,True,True,False,False,0.739809349810888,3.5250000000000004,0.9913123324303672,0.9913123324303672,4911.79
886,2022-04-04,796,797,7053.84,1821.67,,11.23,5,0,0,33.4,,1,Stage 1,0.932,1821.67,0.258,0,0,True,False,True,False,False,False,True,0.06363013947103467,2.216666666666667,0.1356125320470839,0.06363013947103467,108.03
887,2022-06-05,681,670,19314.25,1931.42,,8.98,8,0,0,31.4,,-11,Stage 1,0.881,1931.42,0.1,0,0,True,False,True,False,True,False,False,0.3344874382846553,2.3833333333333333,0.6211019124327704,0.3344874382846553,569.16
888,2022-12-20,616,604,6680.52,4133.41,,5.75,29,0,0,24.8,,-12,Stage 1,0.462,4133.41,0.619,0,0,True,False,False,True,False,False,False,0.7142686187071885,2.933333333333333,0.974640347822301,0.7142686187071885,1363.99
889,2022-07-11,606,579,1786.65,1132.82,,13.58,40,0,1,30.2,,-27,Stage 2,0.89,1132.82,0.634,0,0,True,False,False,True,True,False,False,0.7232785722699517,2.4833333333333334,0.9588465488566454,0.9588465488566454,966.72
890,2024-12-15,603,579,10175.07,10046.02,,7.98,36,1,0,0.6,,-24,Stage 2,0.63,10046.02,0.987,0,0,True,False,True,False,False,True,False,0.7159542869957355,4.95,0.9980308818141319,0.9980308818141319,6316.53
891,2022-02-07,688,675,1517.18,694.01,1868.43,6.09,11,0,0,35.3,0.371,-13,Stage 1,0.495,1281.22,0.457,0,0,False,False,False,False,False,False,False,0.3557953340001832,2.0583333333333336,0.5955103087525373,0.3557953340001832,225.65
892,2024-09-16,679,681,13186.65,12175.2,26990.95,13.36,9,0,0,3.6,0.451,2,Stage 1,0.873,19583.08,0.923,0,0,False,False,False,False,False,False,True,0.35576077252382343,4.7,0.8733743531345314,0.35576077252382343,6082.1
893,2022-04-02,605,585,20638.37,3030.42,5402.63,14.11,31,0,0,33.5,0.561,-20,Stage 2,0.921,4216.52,0.147,0,0,False,False,False,False,False,False,True,0.6861234707445656,2.2083333333333335,0.9226116164604159,0.9226116164604159,3582.88
894,2023-11-17,658,644,10861.95,9261.04,,3.0,16,0,0,13.7,,-14,Stage 1,0.634,9261.04,0.853,0,0,True,True,False,False,False,True,False,0.4740365053010893,3.8583333333333334,0.9161788337771269,0.4740365053010893,2783.31
895,2022-02-01,597,571,2364.65,236.46,,6.22,37,0,1,35.5,,-26,Stage 2,0.499,236.46,0.1,0,0,True,False,False,True,False,False,False,0.7817665885823393,2.0416666666666665,0.9553010280303631,0.9553010280303631,112.72
896,2024-04-26,715,705,22538.66,19333.21,,8.45,6,0,0,8.3,,-10,Stage 1,0.61,19333.21,0.858,0,0,True,False,True,False,False,True,False,0.22552804360029272,4.308333333333334,0.6674939568488445,0.22552804360029272,2659.71
897,2021-05-20,676,641,31599.01,3159.9,,9.84,10,0,0,44.1,,-35,Stage 2,0.92,3159.9,0.1,0,1,True,True,False,False,False,False,True,0.35892910784532606,1.3249999999999997,0.44518201966561566,0.44518201966561566,1294.19
898,2022-06-05,657,635,9981.24,2648.73,6255.0,10.96,17,0,0,31.4,0.423,-22,Stage 1,0.875,4451.86,0.265,0,0,False,False,False,False,True,False,False,0.44556321765171375,2.3833333333333333,0.754803641835633,0.44556321765171375,1735.64
899,2023-01-16,602,582,7048.37,3375.03,,16.55,29,0,0,23.9,,-20,Stage 1,0.918,3375.03,0.479,0,0,True,True,False,False,False,False,True,0.7363416302869122,3.0083333333333337,0.9818740810612618,0.7363416302869122,2281.39
900,2021-04-02,661,644,2817.09,1309.16,,5.71,15,0,0,45.7,,-17,Stage 1,0.688,1309.16,0.465,0,0,True,False,True,False,False,True,False,0.4388982031089332,1.1916666666666664,0.4977252907726203,0.4388982031089332,395.32
901,2021-03-18,655,635,13548.06,1354.81,,9.47,15,0,0,46.2,,-20,Stage 1,0.888,1354.81,0.1,0,0,True,False,True,False,True,False,False,0.4695557356424894,1.15,0.5176794995728993,0.4695557356424894,564.91
902,2023-05-02,699,701,27771.32,17860.19,,4.58,5,0,0,20.3,,2,Stage 1,0.811,17860.19,0.643,0,0,True,False,False,True,True,False,False,0.3045582759592019,3.3083333333333336,0.6992913236722049,0.3045582759592019,4411.41
903,2024-06-21,690,680,2932.95,2404.84,,9.68,10,1,0,6.5,,-10,Stage 2,0.927,2404.84,0.82,0,0,True,False,False,False,False,False,True,0.27855981780977507,4.458333333333333,0.7667563687804306,0.7667563687804306,1709.32
904,2023-04-25,727,707,1289.69,923.2,,13.97,2,0,0,20.6,,-20,Stage 1,0.892,923.2,0.716,0,0,True,False,False,False,True,False,False,0.15552849556991957,3.283333333333333,0.4259442365421048,0.15552849556991957,128.08
905,2022-10-29,650,615,10234.87,2276.96,,3.0,15,0,0,26.5,,-35,Stage 2,0.478,2276.96,0.222,0,1,True,True,False,False,False,False,False,0.5453841651155679,2.7916666666666665,0.8892719309619712,0.8892719309619712,967.87
906,2023-08-17,568,548,2990.22,1864.74,3234.68,4.69,46,0,0,16.8,0.576,-20,Stage 2,0.932,2549.71,0.624,0,0,False,False,False,False,False,False,True,0.827344590440628,3.5999999999999996,0.9982058915815006,0.9982058915815006,2372.07
907,2023-09-16,739,723,12101.07,7001.37,11388.79,11.35,0,0,0,15.8,0.615,-16,Stage 1,0.894,9195.08,0.579,0,0,False,True,False,False,False,False,True,0.15738825427771372,3.6833333333333336,0.4678165998814354,0.15738825427771372,1293.79
908,2023-03-08,623,603,15210.06,8447.43,,11.43,18,0,0,22.2,,-20,Stage 1,0.437,8447.43,0.555,0,0,True,False,True,False,False,False,False,0.6595206181328406,3.1500000000000004,0.9664195836747607,0.6595206181328406,2434.64
909,2021-03-29,613,597,15832.35,1583.23,,6.51,30,0,0,45.8,,-16,Stage 2,0.935,1583.23,0.1,0,0,True,False,True,False,False,False,True,0.6756007374447055,1.1833333333333336,0.7360968956455116,0.7360968956455116,1089.66
910,2023-07-04,677,664,18999.67,13322.41,,11.45,12,0,0,18.2,,-13,Stage 1,0.62,13322.41,0.701,0,0,True,False,True,False,False,True,False,0.3696972178683397,3.4833333333333334,0.7996620937659892,0.3696972178683397,3053.66
911,2024-08-10,698,701,35861.13,31584.46,,12.91,10,0,0,4.8,,3,Stage 1,0.602,31584.46,0.881,0,0,True,False,True,False,False,True,False,0.3356317891836801,4.6,0.847566408700926,0.3356317891836801,6381.65
912,2021-04-05,648,627,22376.8,2237.68,,10.65,28,1,0,45.6,,-21,Stage 2,0.928,2237.68,0.1,0,0,True,False,True,False,False,False,True,0.5219406504797582,1.1999999999999997,0.5875434740617385,0.5875434740617385,1220.07
